project_id,deployment_id,image_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,number_of_objects,age,sex,animal_recognizable,individual_id,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,bounding_boxes
2004085,North Vista Spring Cam,6ff28d75-520c-4258-be4c-7a00cb30865f,nvs_14May22_00017.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/6ff28d75-520c-4258-be4c-7a00cb30865f.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.408762962,0.226325199,0.704335093,0.552184761]}""}"
2004085,North Vista Spring Cam,57665640-b374-4164-93cb-d5a092633f1a,nvs_14May22_00020.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/57665640-b374-4164-93cb-d5a092633f1a.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.421262681,0.633209348,0.716671586,0.966221809]}""}"
2004085,North Vista Spring Cam,f1af7b70-cac5-4664-b367-f5c8898d615c,nvs_14May22_00022.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/f1af7b70-cac5-4664-b367-f5c8898d615c.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,
2004085,North Vista Spring Cam,8a0c6c16-5173-43b7-a7bc-4f0981262bb2,nvs_14May22_00019.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/8a0c6c16-5173-43b7-a7bc-4f0981262bb2.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.413346827,0.49808985,0.714384496,0.827579439]}""}"
2004085,North Vista Spring Cam,6648d6a4-6ef8-4bc8-b131-371d9c337579,nvs_14May22_00018.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/6648d6a4-6ef8-4bc8-b131-371d9c337579.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.423432112,0.371921957,0.708794594,0.687147319]}""}"
2004085,North Vista Spring Cam,b3c3cb90-cd2d-4fa0-b881-bc264d368642,nvs_14May22_00021.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/b3c3cb90-cd2d-4fa0-b881-bc264d368642.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.455629021,0.784262836,0.733217657,1]}""}"
2004085,North Vista Spring Cam,bdd6d49d-d270-4efa-9795-3196d87ea065,nvs_14May22_00024.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/bdd6d49d-d270-4efa-9795-3196d87ea065.JPG,1,Zoe Zilz,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,
2004085,North Vista Spring Cam,28832cd1-e81b-4229-a2a7-d46f783cfdad,nvs_14May22_00035.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/28832cd1-e81b-4229-a2a7-d46f783cfdad.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 22:06:04,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.336007506,0.170998201,0.696254492,0.453236699]}""}"
2004085,North Vista Spring Cam,e24da1de-9c54-447a-aafe-ffab6d05749f,nvs_14May22_00023.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/e24da1de-9c54-447a-aafe-ffab6d05749f.JPG,1,Zoe Zilz,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,,,,,,Blank,,2022-04-29 05:18:14,1,,,,,,,false,,,CC0,
2004085,North Vista Spring Cam,5254fc97-27ca-4a7d-a158-70e6676cd4ba,nvs_14May22_00036.JPG,gs://145625598251_2004085_882_project_ecotone__main/deployment/2139509/prod/directUpload/5254fc97-27ca-4a7d-a158-70e6676cd4ba.JPG,0,Zoe Zilz,aaf3b049-36e6-46dd-9a07-8a580e9618b7,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,,2022-04-29 22:06:04,1,,,,,,,false,,,CC0,"{""{\""detectionBox\"":[0.265632689,0.034629792,0.615205228,0.292948127]}""}"
